分類,名前の定義,項目,選択肢,Key,値,,,,,,,,,
Q4,Q4_Ventilation,,換気レベルC（工業的な全体換気、屋外作業）,Q4換気レベルC（工業的な全体換気、屋外作業）,1,,,,,,,,,
Q4,Q4_Ventilation,,換気レベルD（外付け式局所排気装置）,Q4換気レベルD（外付け式局所排気装置）,0.1,,,,,,,,,
Q4,Q4_Ventilation,,換気レベルE（囲い式局所排気装置）,Q4換気レベルE（囲い式局所排気装置）,0.01,,,,,,,,,
Q4,Q4_Ventilation,,換気レベルF（密閉容器内での取扱い）,Q4換気レベルF（密閉容器内での取扱い）,0.001,,,,,,,,,
Q4,Q4_ControlVelocity,,制御風速を確認していない,Q4制御風速を確認していない,FALSE,,,,,,,,,
Q4,Q4_ControlVelocity,,制御風速を確認している,Q4制御風速を確認している,TRUE,,,,,,,,,
Q5,Q5_Time,,8時間超,Q58時間超,10,,,,,,,,,
Q5,Q5_Time,,7時間超～8時間以下,Q57時間超～8時間以下,8,,,,,,,,,
Q5,Q5_Time,,6時間超～7時間以下,Q56時間超～7時間以下,7,,,,,,,,,
Q5,Q5_Time,,5時間超～6時間以下,Q55時間超～6時間以下,6,,,,,,,,,
Q5,Q5_Time,,4時間超～5時間以下,Q54時間超～5時間以下,5,,,,,,,,,
Q5,Q5_Time,,3時間超～4時間以下,Q53時間超～4時間以下,4,,,,,,,,,
Q5,Q5_Time,,2時間超～3時間以下,Q52時間超～3時間以下,3,,,,,,,,,
Q5,Q5_Time,,1時間超～2時間以下,Q51時間超～2時間以下,2,,,,,,,,,
Q5,Q5_Time,,30分超～1時間以下,Q530分超～1時間以下,1,,,,,,,,,
Q5,Q5_Time,,30分以下,Q530分以下,0.5,,,,,,,,,
Q6,Q6_Frequency,,週1回以上,Q6週1回以上,1,,,,,,,,,
Q6,Q6_Frequency,,週1回未満,Q6週1回未満,0,,,,,,,,,
Q7,Q7_ExposureVariation,,ばく露濃度の変動が小さい作業,Q7ばく露濃度の変動が小さい作業,4,,,,,,,,,
Q7,Q7_ExposureVariation,,ばく露濃度の変動が大きい作業,Q7ばく露濃度の変動が大きい作業,6,,,,,,,,,
Option,Option_RPE_Liquid,液体,防毒マスク（半面形面体）,Option防毒マスク（半面形面体）,10,,,,,,,,,
Option,Option_RPE_Liquid,液体,防毒マスク（全面形面体）,Option防毒マスク（全面形面体）,50,,,,,,,,,
Option,Option_RPE_Liquid,液体,電動ファン付き呼吸用保護具（ルーズフィット形）,Option電動ファン付き呼吸用保護具（ルーズフィット形）,25,,,,,,,,,
Option,Option_RPE_Liquid,液体,電動ファン付き呼吸用保護具（半面形面体）,Option電動ファン付き呼吸用保護具（半面形面体）,50,,,,,,,,,
Option,Option_RPE_Liquid,液体,電動ファン付き呼吸用保護具（全面形面体）,Option電動ファン付き呼吸用保護具（全面形面体）,1000,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（全面形面体、RS3・RL3）,Option防じんマスク（全面形面体、RS3・RL3）,50,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（全面形面体、RS2・RL2）,Option防じんマスク（全面形面体、RS2・RL2）,14,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（全面形面体、RS1・RL1）,Option防じんマスク（全面形面体、RS1・RL1）,4,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（半面形面体、RS3・RL3）,Option防じんマスク（半面形面体、RS3・RL3）,10,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（半面形面体、RS2・RL2）,Option防じんマスク（半面形面体、RS2・RL2）,10,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（半面形面体、RS1・RL1）,Option防じんマスク（半面形面体、RS1・RL1）,4,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（使い捨て式、DS3・DL3）,Option防じんマスク（使い捨て式、DS3・DL3）,10,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（使い捨て式、DS2・DL2）,Option防じんマスク（使い捨て式、DS2・DL2）,10,,,,,,,,,
Option,Option_RPE_Solid,粉体,防じんマスク（使い捨て式、DS1・DL1）,Option防じんマスク（使い捨て式、DS1・DL1）,4,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（ルーズフィット形、S級・A級・B級、PS1・PL1）,Option電動ファン付き呼吸用保護具（ルーズフィット形、S級・A級・B級、PS1・PL1）,11,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（ルーズフィット形、A級、PS3・PL3）,Option電動ファン付き呼吸用保護具（ルーズフィット形、A級、PS3・PL3）,20,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（ルーズフィット形、S級・A級、PS2・PL2）,Option電動ファン付き呼吸用保護具（ルーズフィット形、S級・A級、PS2・PL2）,20,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（ルーズフィット形、S級、PS3・PL3）,Option電動ファン付き呼吸用保護具（ルーズフィット形、S級、PS3・PL3）,25,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（半面形面体、A級・B級、PS1・PL1）,Option電動ファン付き呼吸用保護具（半面形面体、A級・B級、PS1・PL1）,14,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（全面形面体、A級・B級、PS1・PL1）,Option電動ファン付き呼吸用保護具（全面形面体、A級・B級、PS1・PL1）,19,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（半面形面体、A級、PS2・PL2）,Option電動ファン付き呼吸用保護具（半面形面体、A級、PS2・PL2）,33,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（半面形面体、S級、PS3・PL3）,Option電動ファン付き呼吸用保護具（半面形面体、S級、PS3・PL3）,50,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（全面形面体、A級、PS2・PL2）,Option電動ファン付き呼吸用保護具（全面形面体、A級、PS2・PL2）,90,,,,,,,,,
Option,Option_RPE_Solid,粉体,電動ファン付き呼吸用保護具（全面形面体、S級、PS3・PL3）,Option電動ファン付き呼吸用保護具（全面形面体、S級、PS3・PL3）,1000,,,,,,,,,
Option,Option_Fitting,フィットテストの有無,なし,Optionなし,2,,,,,,,,,
Option,Option_Fitting,フィットテストの有無,簡易法（シールチェック）,Option簡易法（シールチェック）,1.5,,,,,,,,,
Option,Option_Fitting,フィットテストの有無,フィットテスト,Optionフィットテスト,1,,,,,,,,,
